,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
6343,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
6344,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
6345,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
6346,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
6347,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
6348,95558,,English,,64.625,8,8,tv,FALSE
6349,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
6350,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
6351,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
6352,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
6353,158876,,Chinese,,58.304,8.4,9,tv,FALSE
6354,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
6355,117465,,Japanese,,62.392,10,4,tv,FALSE
6356,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
6357,208891,,Japanese,,59.825,8.667,3,tv,FALSE
6358,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,movie,FALSE
6359,82856,,English,,1108.646,8.488,8697,tv,FALSE
6360,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,movie,FALSE
6361,677179,Creed III,English,3/1/2023,1537.879,7.2,561,movie,FALSE
6362,726759,Tetris,English,3/15/2023,66.661,7.7,100,movie,FALSE
6363,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
6364,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
6365,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
6366,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
6367,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
6368,95558,,English,,64.625,8,8,tv,FALSE
6369,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
6370,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
6371,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
6372,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
6373,158876,,Chinese,,58.304,8.4,9,tv,FALSE
6374,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
6375,117465,,Japanese,,62.392,10,4,tv,FALSE
6376,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
6377,208891,,Japanese,,59.825,8.667,3,tv,FALSE
6378,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,movie,FALSE
6379,82856,,English,,1108.646,8.488,8697,tv,FALSE
6380,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,movie,FALSE
6381,677179,Creed III,English,3/1/2023,1537.879,7.2,561,movie,FALSE
6382,726759,Tetris,English,3/15/2023,66.661,7.7,100,movie,FALSE
