,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
5948,95558,,English,,64.625,8,8,tv,FALSE
5949,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
5950,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
5951,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
5952,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
5953,158876,,Chinese,,58.304,8.4,9,tv,FALSE
5954,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
5955,117465,,Japanese,,62.392,10,4,tv,FALSE
5956,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
5957,208891,,Japanese,,59.825,8.667,3,tv,FALSE
5958,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,movie,FALSE
5959,82856,,English,,1108.646,8.488,8697,tv,FALSE
5960,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,movie,FALSE
5961,677179,Creed III,English,3/1/2023,1537.879,7.2,561,movie,FALSE
5962,726759,Tetris,English,3/15/2023,66.661,7.7,100,movie,FALSE
5963,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
5964,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
5965,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
5966,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
5967,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
5968,95558,,English,,64.625,8,8,tv,FALSE
5969,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
5970,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
5971,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
5972,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
5973,158876,,Chinese,,58.304,8.4,9,tv,FALSE
5974,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
5975,117465,,Japanese,,62.392,10,4,tv,FALSE
5976,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
5977,208891,,Japanese,,59.825,8.667,3,tv,FALSE
5978,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,movie,FALSE
5979,82856,,English,,1108.646,8.488,8697,tv,FALSE
5980,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,movie,FALSE
5981,677179,Creed III,English,3/1/2023,1537.879,7.2,561,movie,FALSE
5982,726759,Tetris,English,3/15/2023,66.661,7.7,100,movie,FALSE
5983,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
5984,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
5985,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
5986,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
5987,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
5988,95558,,English,,64.625,8,8,tv,FALSE
5989,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
5990,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
5991,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
